a_x a_y a_z
0 0 0
142 -1270 -15338
0 0 14246
184 -1383 -15128
0 0 0
135 -1238 -15416
0 0 2738
138 -1295 -15486
0 0 0
124 -1264 -15420
0 0 14247
69 -1254 -15373
0 0 0
292 -1267 -15407
0 0 984
123 -1328 -15321
0 0 0
129 -1265 -15368
0 1 2738
127 -1287 -15407
0 0 0
93 -1281 -15384
0 1 14373
168 -1269 -15436
0 0 0
259 -1311 -15344
0 32 0
152 -1268 -14985
0 0 0
250 -1285 -15317
0 0 14369
29 -1277 -15250
0 0 0
163 -1274 -15609
0 1 14373
202 -1288 -15428
0 0 0
291 -1281 -15409
0 33 64
170 -1256 -15451
0 0 0
135 -1249 -15457
0 33 14247
170 -1253 -15486
0 0 0
71 -1260 -15473
0 0 64
93 -1331 -15382
0 0 0
78 -1241 -15325
0 0 0
182 -1277 -15402
0 0 0
222 -1227 -15345
0 32 0
167 -1296 -15326
0 0 0
56 -1287 -15404
0 0 14373
31 -1324 -15432
0 0 0
160 -1223 -15457
0 1 2738
252 -1219 -15460
0 0 0
124 -1196 -15425
0 33 2738
246 -1288 -15417
0 0 0
147 -1270 -15384
0 33 14369
182 -1334 -15333
0 0 0
158 -1278 -15332
0 0 0
174 -1307 -15253
0 0 0
178 -1332 -15456
0 0 14373
123 -1341 -15411
0 0 0
193 -1227 -15407
0 0 14373
140 -1284 -15449
0 0 0
134 -1302 -15442
0 0 14340
118 -1260 -15528
0 0 0
182 -1329 -15388
0 0 0
144 -1277 -15442
0 0 0
154 -1284 -15388
0 0 14369
115 -1313 -15404
0 0 0
213 -1261 -15364
0 0 0
98 -1340 -15468
0 0 0
33 -1261 -15457
0 0 0
124 -1236 -15497
0 0 0
127 -1264 -15446
0 0 0
146 -1238 -15471
0 0 0
130 -1227 -15306
0 0 14373
76 -1213 -15398
0 0 0
63 -1233 -15290
0 25716 14077
85 -1231 -15514
0 0 0
130 -1276 -15314
0 1 14044
87 -1301 -15436
0 0 0
155 -1328 -15338
0 1 14077
133 -1280 -15471
0 0 0
50 -1231 -15553
0 1 14373
216 -1311 -15496
0 0 0
