Raw MAF FIR
-0.963312 -0.965996 -0.964959
-0.965874 -0.965630 -0.965569
-0.965569 -0.964654 -0.965691
-0.966118 -0.965569 -0.965447
-0.957944 -0.963739 -0.965142
-0.969961 -0.965081 -0.965020
-0.968009 -0.965508 -0.964898
-0.963556 -0.965081 -0.964654
-0.968680 -0.965630 -0.964715
-0.967826 -0.967582 -0.965142
-0.965996 -0.966789 -0.965874
-0.960750 -0.965325 -0.966484
-0.948489 -0.962336 -0.966667
-0.966545 -0.961909 -0.966179
-0.967094 -0.961726 -0.964593
-0.969168 -0.962397 -0.962336
-0.976854 -0.965630 -0.960933
-0.966728 -0.969229 -0.961665
-0.966728 -0.969290 -0.964410
-0.966362 -0.969168 -0.967582
-0.963373 -0.968009 -0.969412
-0.959774 -0.964593 -0.969412
-0.968009 -0.964837 -0.968131
-0.965508 -0.964593 -0.966362
-0.964349 -0.964166 -0.964898
-0.963251 -0.964166 -0.964227
-0.965752 -0.965325 -0.964288
-0.973011 -0.966362 -0.964654
-0.961604 -0.965569 -0.964898
-0.966545 -0.965996 -0.965264
-0.968436 -0.967033 -0.965813
-0.963861 -0.966667 -0.966362
-0.947269 -0.961543 -0.966545
-0.967582 -0.962702 -0.966057
-0.967826 -0.962946 -0.964776
-0.967704 -0.962824 -0.962946
-0.968802 -0.963800 -0.961787
-0.971974 -0.968741 -0.962153
-0.968253 -0.968863 -0.964166
-0.968436 -0.968985 -0.966606
-0.965874 -0.968619 -0.968314
-0.960445 -0.966972 -0.969046
-0.972645 -0.967094 -0.968863
-0.965264 -0.966484 -0.968009
-0.965081 -0.965813 -0.966972
-0.969900 -0.966667 -0.966301
-0.964349 -0.967399 -0.966301
-0.963312 -0.965569 -0.966606
-0.968253 -0.966179 -0.966728
-0.971913 -0.967521 -0.966545
-0.969717 -0.967460 -0.966240
-0.955992 -0.965813 -0.966362
-0.955138 -0.964166 -0.966911
-0.970144 -0.964532 -0.967155
-0.969046 -0.963983 -0.966057
-0.971120 -0.964288 -0.964105
-0.960384 -0.965142 -0.963007
-0.960567 -0.966240 -0.963861
-0.974841 -0.967155 -0.965569
-0.961238 -0.965630 -0.966484
-0.971242 -0.965630 -0.966118
-0.961726 -0.965874 -0.965630
-0.966606 -0.967094 -0.965813
-0.968436 -0.965813 -0.966301
-0.966057 -0.966789 -0.966423
-0.967765 -0.966118 -0.966240
-0.963373 -0.966423 -0.966179
-0.970205 -0.967155 -0.966423
-0.965996 -0.966667 -0.966606
-0.966911 -0.966850 -0.966667
-0.971669 -0.967582 -0.966667
-0.970388 -0.968985 -0.966850
-0.952637 -0.965508 -0.967277
-0.968375 -0.965996 -0.967765
-0.964654 -0.965508 -0.967582
-0.958249 -0.962824 -0.966545
-0.960018 -0.960750 -0.964959
-0.960567 -0.962336 -0.963556
-0.956114 -0.959896 -0.962580
-0.956358 -0.958249 -0.961665
-0.967338 -0.960079 -0.960628
-0.964105 -0.960872 -0.959530
-0.958188 -0.960384 -0.959164
-0.966057 -0.962397 -0.959713
-0.965752 -0.964288 -0.960933
-0.972645 -0.965325 -0.962092
-0.967826 -0.966057 -0.963068
-0.967460 -0.967948 -0.964166
-0.969900 -0.968680 -0.965752
-0.944951 -0.964532 -0.967338
-0.961421 -0.962275 -0.968009
