ZAccle
Raw MAF FIR
-1.063535 -0.687531 -0.521123
-1.158329 -0.826184 -0.553758
-1.395314 -0.994788 -0.631350
-1.205421 -1.108309 -0.751398
-1.209081 -1.206336 -0.903593
-1.207007 -1.235006 -1.055910
-1.019493 -1.207251 -1.168882
-1.237507 -1.175653 -1.220610
-1.296433 -1.193892 -1.218170
-1.352736 -1.222623 -1.192916
-1.133380 -1.207861 -1.179313
-0.933117 -1.190598 -1.193465
-0.780373 -1.099159 -1.217804
-0.551074 -0.950136 -1.213473
-0.502152 -0.780007 -1.148264
-0.443409 -0.642025 -1.021140
-0.561200 -0.567605 -0.862967
-0.588711 -0.529297 -0.712358
-0.595299 -0.538142 -0.601033
-0.842532 -0.606218 -0.544059
-0.991311 -0.715774 -0.539850
-1.181265 -0.839787 -0.579439
-1.384822 -0.998997 -0.657336
-1.957368 -1.271423 -0.774029
-1.102392 -1.323395 -0.928969
-1.038037 -1.332728 -1.113738
-1.125328 -1.321565 -1.282708
-1.296067 -1.303814 -1.371280
-1.300276 -1.172420 -1.353041
-1.008269 -1.153571 -1.272216
-0.964288 -1.138809 -1.205360
-0.724131 -1.058594 -1.181997
-0.644709 -0.928298 -1.164063
-0.572180 -0.782691 -1.100135
-0.482083 -0.677466 -0.986736
-0.495442 -0.583709 -0.853268
-0.590541 -0.556991 -0.729743
-0.692228 -0.566446 -0.632875
-0.932080 -0.638426 -0.572973
-1.144665 -0.770979 -0.560285
-1.270813 -0.926041 -0.602680
-1.228601 -1.053653 -0.701805
-1.459913 -1.207190 -0.843386
-1.080310 -1.236836 -0.997228
-1.094645 -1.226832 -1.131184
-1.295640 -1.231773 -1.217499
-1.382931 -1.262639 -1.245681
-1.330837 -1.236836 -1.235128
-0.990640 -1.218902 -1.223477
-0.865346 -1.173030 -1.233237
-0.670573 -1.048041 -1.244522
-0.563518 -0.884134 -1.212009
-0.397964 -0.697596 -1.108980
-0.361303 -0.571692 -0.955077
-0.440908 -0.486841 -0.789218
-0.608414 -0.474397 -0.641598
-0.792207 -0.520147 -0.531493
-1.046943 -0.649955 -0.477081
-1.165710 -0.810812 -0.494405
-1.308877 -0.984418 -0.584990
-1.303021 -1.123315 -0.730475
-1.193465 -1.203591 -0.898591
-1.049383 -1.204079 -1.053714
-1.052677 -0.855586 -0.510631
-1.228174 -1.009733 -0.634034
-1.261480 -1.101294 -0.791475
-1.344562 -1.188219 -0.935252
-1.325347 -1.242448 -1.049078
-1.173640 -1.266604 -1.140212
-1.221342 -1.265262 -1.213229
-1.245315 -1.262029 -1.259528
-1.254648 -1.244034 -1.272399
-0.996130 -1.178215 -1.259894
-0.889197 -1.121302 -1.238727
-0.678015 -1.012661 -1.211033
-0.730536 -0.909693 -1.161196
-0.534421 -0.765611 -1.073234
-0.422364 -0.650870 -0.954284
-0.397232 -0.552477 -0.828319
-0.449143 -0.506727 -0.712358
-0.787937 -0.518195 -0.611525
-0.668438 -0.544974 -0.533445
-0.975939 -0.655689 -0.500017
-1.016504 -0.779580 -0.526735
-1.421117 -0.973987 -0.609390
-1.411296 -1.098610 -0.727608
-1.568615 -1.278682 -0.869006
-1.157841 -1.315038 -1.027057
-0.908168 -1.293383 -1.184681
-1.219329 -1.253001 -1.299910
-1.327360 -1.236226 -1.329678
-1.302838 -1.183095 -1.281549
-0.961848 -1.143872 -1.213778
-0.833565 -1.128988 -1.182546
-0.908656 -1.066829 -1.183034
-0.757193 -0.952820 -1.164490
-0.748592 -0.841922 -1.093791
-0.686372 -0.786839 -0.990701
-0.608109 -0.741760 -0.894931
-0.505629 -0.661179 -0.822341
-0.406504 -0.591029 -0.762744
-0.633241 -0.567971 -0.701317
-0.787998 -0.588284 -0.635925
-0.766892 -0.620004 -0.581879
-1.117154 -0.742309 -0.564799
-0.911828 -0.843386 -0.601399
-0.978074 -0.912377 -0.686494
-1.348344 -1.024434 -0.792146
-1.143140 -1.099708 -0.888526
-1.634068 -1.203042 -0.970815
-0.984845 -1.217682 -1.050725
-1.519388 -1.325957 -1.139358
-1.271545 -1.310585 -1.223477
-1.321382 -1.346209 -1.283074
-0.908473 -1.201090 -1.309426
-0.793183 -1.162782 -1.309975
-0.875228 -1.033950 -1.280451
-0.845033 -0.948611 -1.206153
-0.863638 -0.857111 -1.093242
-0.763171 -0.828014 -0.975573
-0.703391 -0.810080 -0.893955
-0.629032 -0.760853 -0.851682
-0.506300 -0.693082 -0.824293
-0.472933 -0.614941 -0.785070
-0.478850 -0.558089 -0.726632
-0.613111 -0.540033 -0.656238
-0.840519 -0.582306 -0.589443
-0.962458 -0.673562 -0.548573
-1.113128 -0.801601 -0.556320
-0.934032 -0.892613 -0.623054
-1.328885 -1.035780 -0.735355
-1.146556 -1.096963 -0.859612
-1.445822 -1.193648 -0.969717
-1.145397 -1.200114 -1.058960
-1.258918 -1.265079 -1.135942
-1.038708 -1.207068 -1.200114
-1.283501 -1.234457 -1.238666
-1.452471 -1.235799 -1.241655
-1.240618 -1.254831 -1.223416
-0.939644 -1.190964 -1.216340
-0.817583 -1.146739 -1.230797
-0.775798 -1.045174 -1.237873
-0.702781 -0.895236 -1.193404
-0.671244 -0.781410 -1.087935
-0.495381 -0.692533 -0.953918
-0.523441 -0.633729 -0.834907
-0.437980 -0.566141 -0.743651
-0.453779 -0.516365 -0.668194
-0.896273 -0.561322 -0.599935
-0.764452 -0.615185 -0.547170
-0.993202 -0.709125 -0.533872
-0.994788 -0.820450 -0.575962
-1.251598 -0.980026 -0.666425
